state,season,week_ending_date,age_category,sex,race,rate,cumulative_rate
Maryland,2022-23,2023-06-10T00:00:00.000,5-17 years,All,All,0,14.1
Tennessee,2022-23,2023-06-10T00:00:00.000,5-17 years,All,All,0,8.9
Minnesota,2022-23,2023-06-10T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-06-10T00:00:00.000,5-17 years,All,All,0,19.1
Oregon,2022-23,2023-06-10T00:00:00.000,5-17 years,All,All,0,11.3
Connecticut,2022-23,2023-06-10T00:00:00.000,5-17 years,All,All,0,23.2
Michigan,2022-23,2023-06-10T00:00:00.000,5-17 years,All,All,0,31.4
New York,2022-23,2023-06-10T00:00:00.000,5-17 years,All,All,0,26.5
Georgia,2022-23,2023-06-10T00:00:00.000,5-17 years,All,All,0,7.8
New Mexico,2022-23,2023-06-10T00:00:00.000,5-17 years,All,All,0,56
Colorado,2022-23,2023-06-10T00:00:00.000,5-17 years,All,All,0,37.4
California,2022-23,2023-06-10T00:00:00.000,5-17 years,All,All,0,12
Colorado,2022-23,2023-06-17T00:00:00.000,5-17 years,All,All,0.2,37.7
California,2022-23,2023-06-17T00:00:00.000,5-17 years,All,All,0,12
Utah,2022-23,2023-06-17T00:00:00.000,5-17 years,All,All,0,36.4
Maryland,2022-23,2023-06-17T00:00:00.000,5-17 years,All,All,0,14.1
Tennessee,2022-23,2023-06-17T00:00:00.000,5-17 years,All,All,0,8.9
Minnesota,2022-23,2023-06-17T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-06-17T00:00:00.000,5-17 years,All,All,0,19.2
Oregon,2022-23,2023-06-17T00:00:00.000,5-17 years,All,All,0,11.3
Connecticut,2022-23,2023-06-17T00:00:00.000,5-17 years,All,All,0,23.2
Michigan,2022-23,2023-06-17T00:00:00.000,5-17 years,All,All,0,31.4
New York,2022-23,2023-06-17T00:00:00.000,5-17 years,All,All,0,26.5
Georgia,2022-23,2023-06-17T00:00:00.000,5-17 years,All,All,0,7.8
New Mexico,2022-23,2023-06-17T00:00:00.000,5-17 years,All,All,0,56
Utah,2022-23,2023-06-24T00:00:00.000,5-17 years,All,All,0,36.4
Maryland,2022-23,2023-06-24T00:00:00.000,5-17 years,All,All,0,14.1
Tennessee,2022-23,2023-06-24T00:00:00.000,5-17 years,All,All,0,8.9
Minnesota,2022-23,2023-06-24T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-06-24T00:00:00.000,5-17 years,All,All,0,19.2
Oregon,2022-23,2023-06-24T00:00:00.000,5-17 years,All,All,0,11.3
Connecticut,2022-23,2023-06-24T00:00:00.000,5-17 years,All,All,0,23.2
Michigan,2022-23,2023-06-24T00:00:00.000,5-17 years,All,All,0,31.4
Georgia,2022-23,2023-06-24T00:00:00.000,5-17 years,All,All,0,7.8
New York,2022-23,2023-06-24T00:00:00.000,5-17 years,All,All,0,26.5
New Mexico,2022-23,2023-06-24T00:00:00.000,5-17 years,All,All,0,56
Colorado,2022-23,2023-06-24T00:00:00.000,5-17 years,All,All,0,37.7
California,2022-23,2023-06-24T00:00:00.000,5-17 years,All,All,0,12
Colorado,2022-23,2023-07-01T00:00:00.000,5-17 years,All,All,0,37.7
California,2022-23,2023-07-01T00:00:00.000,5-17 years,All,All,0,12
Utah,2022-23,2023-07-01T00:00:00.000,5-17 years,All,All,0,36.4
Maryland,2022-23,2023-07-01T00:00:00.000,5-17 years,All,All,0,14.1
Tennessee,2022-23,2023-07-01T00:00:00.000,5-17 years,All,All,0,8.9
Minnesota,2022-23,2023-07-01T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-07-01T00:00:00.000,5-17 years,All,All,0,19.2
Oregon,2022-23,2023-07-01T00:00:00.000,5-17 years,All,All,0,11.3
Connecticut,2022-23,2023-07-01T00:00:00.000,5-17 years,All,All,0,23.2
Michigan,2022-23,2023-07-01T00:00:00.000,5-17 years,All,All,0,31.4
New York,2022-23,2023-07-01T00:00:00.000,5-17 years,All,All,0,26.5
Georgia,2022-23,2023-07-01T00:00:00.000,5-17 years,All,All,0,7.8
New Mexico,2022-23,2023-07-01T00:00:00.000,5-17 years,All,All,0,56
